T1-F1,59.6,12.9,5.9
T1-F2,60.4,13.7,5.9
T1-F3,59.2,17,5.8
T2-F4,62.5,26.9,6.1
T2-F5,61.6,14.2,6.3
T3-F4,63.4,18.5,7.2
T3-F5,63.1,20.1,7.6
